Title,Contents,Date
편의점 알바 사장 양아치들 많네요ㅋㅋㅋ,면접 보고자세하게 일하는날짜랑계약조건 상세히 다말하고다음주에 연락준다고 근무날짜까지일 다시킬거처럼 말해놓고기다리고있는데연락와서 한다는말이얼버무리면서 결국 다른사람 뽑앗다는말ㅋㅋ그래도 일 필요하면 대타로 불러줄수있다면서선심쓰듯 설연휴 3일 대타근무 해줄수있냐 하는데설연휴ㅋㅋㅋ어이가 없어서쌍욕박고싶엇는데 안된다고 했네요사실 주말에 다음주 근무 확정된거맞는지다른곳 일구해야되는데 연락이없길래문자보냈는데 귀찮다는투로 다음주에 연락드립니다한마디 보낸거보자마자 쌔해서 바로다른곳 면접보고 붙어서 일하고있었는데설마하면 역시나네요ㅋㅋ저 편의점 주휴주기 싫어서 월급제 한다는곳입니다굳이 어딘지 말은안하지만 다들 월급제한다는 편의점뜨면 참고하세요정말 쌩양아치들 많네요,2025-01-26
설날 일당 20,내일부터 삼 일동안 알바하는데일당 20해서 60만원이번달 마이너스 엿는데간신히 살아남는다 ㅋㅋㅋ니들도 꼭 알바 찾아라,2025-01-26
편의점 알바 교육시간도 근무시간으로 쳐주나요??,알바 교육한다고불러서하루 10시간 밤새교육 받고왓는데뭐 무급이라고 고지한부분도없고그냥 나와서 인수인계 받아라한마디 듣고 나가서 10시간 매장 보고원래 그시간대 근무자랑일하면서 교육받고왔습니다따로 교육시간에 대해서페이를 들은건 없는데이부분도 근무시간에 포함인건가요??,2025-01-26
내일 오상헬스케어 가시는분들~~,계신가요융,2025-01-26
두원마인즈 조이푸드 사기막골,관리자들 대박이네 ㅋㅋㅋㅋ 항상 공고 올라오는 이유를 알겠다,2025-01-26
궁금한거 있는데..,제가 2월 3일에 자취할겸 번호나 이런걸 싹다 바꾸기로 했는데 지금 면접 본 알바자리가 뽑힌 상태에요. 2월 1일날 첫출근인데 2월 1일에 직접 만나서 말씀 드리는게 나을까요 아니면 내일 오전중에 전화로 알려드리는게 나을까요? 혹시나 전화 바꿨다고 자르거나 그러진 않겠죠...?ㅠㅅㅠ,2025-01-26
편의점 알바 미친 개꿀팁,장바구니 끌고 다니는 할줌마를 조심할 것,2025-01-26
이천 지그재그 가지마세요,5일째 돈 못받는중입니다.상지업체이고  공고는 이름바까 올리는듯ㅈㅇㅇㅇㅊㅋㅍㄴ 피해보지마시라구 계속 올려드립니다시비충은 가볍게 무시합니다,2025-01-26
설연휴 알바,설연휴알바 있을까요혹시나해서요,2025-01-26
무신사스탠다드 무탠다드,알바지원 했는데 알바경험담에 올라온 글들 보니까 다들 연락은 못 받았나보네요… 한꺼번에 면접 보려는 건가..? 뭔가 정해져 있는 것 같음,2025-01-26
"콜센터에서 사무, 총무 업무 해보신 분 계실까요?!","주로 맡게 되는 업무가 궁금해요!전화 업무는 따로 없나요?공고에 실적보고서 작성, DB배정 등의 업무라고 되어있었는데 어떤 업무인가요??가능하면 오래 다니고 싶은데 가능할까요..??",2025-01-26
맨파워코리아 이회사,지금 일하는회사가 3월말에 문을닫는다고 해서 어쩔수 없이 그만둬야되는 상황이라 맨파워코리아 아웃소싱회사 소속 이라는 2-3시간 걸려서 경기도 이천에있는 DHL 물류센터 면접보러 도착해서 저랑 면접봐주시는 담당자한테 전화했더니 담당자는 전화안받고 담당자 오늘 쉬는날이라 그래서 제가 다른팀장이랑 면접봤습니다 그팀장은 자기는 들은게없다면서 이력서도 없이면접봐놓고 불합격시켯다가 아웃소싱 본사에다가 제가 전화해서 잘말해달라 부탁해서 겨우 합격하게됬는데요.. 면접본곳  주5일 주말공휴일 다쉬는 물류센터로 갈지 아니면 제가 지금 일하는 곳이 장지에 서울복합물류단지에 있는 세븐일레븐 편의점 물류센터인데 여기 닫으면 하던일 그대로 성남지점으로 갈지 고민됩니다 주5일도 가능하고 6일도 가능하다는데 어느쪽이 나을까여 맨파워코리아 이회사 안좋나요?,2025-01-26
피자몰 일 해보신 분 계신가요?,피자몰 알바에 온라인 지원 했는데 이력서를 이틀동안 열람을 안 하시네요.. 모든 음식점이 이런가요?,2025-01-26
카페 알바하는데,진짜 네일 하고싶당ㅠㅠ,2025-01-26
