Title,Contents,Date
오상헬스케어는 아웃소싱 어디업체가 괜찮은편인가여?,???,2025-01-26
알바그만둘때,제출한서류 그냥두고들오나요?제가 다닌곳은 전에다닌분들 서류도  그대로 있거든요신분증사진찍고 등기제출하고 했었는데관둿는데 생각안하고있다가문득 등기랑 제출한게 생각나가지구여러분들도 그냥 두고오나요?,2025-01-26
수원역 987솥뚜껑 알바 후기,기본적으로 사장님이랑 점장님 다 친절하고 여기 일 할 줄알면 웬만한 고깃집 다 할만하다고 생각해요월급도 밀려서 들어오지않고 돈 계산도 깔끔하게 해주시고 다들 친절해서 일하기 좋아여,2025-01-26
이천 지그재그 가지마세요,4일째 돈 못받는중입니다.상지업체이고  공고는 이름바까 올리는듯ㅈㅇㅇㅇㅊㅋㅍㄴ 피해보지마시라구 계속 올려드립니다시비충은 가볍게 무시합니다,2025-01-26
피시방 주말 오후 어떤가요,여태까지 식당 홀서빙 2년 정도 했습니다.피시방 알바는 처음이라 좀 걱정이 되는데..100석 조금 넘는 규모의 피시방이고 음식 종류가 다양한 편이었어요. 16-23시 근무이고 초반을 제외하면 쭉 혼자 일할 것 같은데 많이 빡셀까요? 무서운 포인트가 해당 피시방이1년동안 채용공고만 211회라는 점;;어디가서 일 못한다는 소리는 안들어봤지만 주말 오후 피시방 알바는 꽤 부담스럽긴 하네요;;,2025-01-26
알바 공고 새로 올림,"이번주에 면접을 봤었고, 사장님이 다른 면접자들도 있어서 보고 연락 주신다고 했습니다. 제가 바로 출근 가능하다고 했었어서 주말 알바라 주말 전까지 연락이 안 오면 불합격 된 거라고 혼자 생각하고 있었는데요. 오늘 알바몬 들어와 보니까 그전에 올린 공고들을 다 삭제하고 새로운 공고를 어제 올렸더라고요. 원래 그 전 공고들 삭제 안하고 새로 올리면 지원완료 돼서 지원 불가하잖아요. 이런 경우에는 다들 재지원 하시나요? 전 하진 않을 거지만 궁금합니다.. 왜 면접 본 다른 사람들 중에서 뽑지 않고 새로 공고를 올렸을까요.",2025-01-25
동춘역 8분거리 원아웃소싱 화장품,여기 다녀보신분 있나요?명절끝나고가기로 했는데,2025-01-25
카페 마감 알바 실수한 음료 어떻게 하시나요??,"알바 시작한 지 딱 2개월 되었고 주말 마감입니다!알바 갈 때 마다 하루에 음료 하나 씩은 실수했고, 테이크 아웃 전문점이라 버리기 좀 그래서 몇 번은 가족들 가져다 드렸는데요!요즘 실수를 안 하다가 오늘 6잔 정도 실수가 나버렸습니다ㅎㅎ...다른 분들은 이럴 때 어떻게 하시나요?버리거나 가져가시거나 돈 주고 사시거나 중에 어떻게 하실까요...? ㅜ.ㅡ",2025-01-25
동료들 어떻게 부르시나요,"첫알바입니다 그냥 같은 알바이지만 먼저 일을 시작한분들인경우엔 ""~~씨"" 라고 부르면 되나요? 제가 성인도아직 아니고 좀 어려서 더 헷갈리네요 ~~씨 라고 부를땐 외노자같은 경우엔 어떻게 하나요?  외국어이름을 그냥 불러요 아니면 -(외국어이름)씨 라고 불러요?  다른 직원들은 그냥 외국어이름으로만 부르긴하는데 다들 나이가 있으시다보니 저도 그렇게불러도 되나싶네요",2025-01-25
다음달 되면 알바 자리 좀 나올까요?,대학생 개강 시즌되면 좀 나온다는데 그게 정확히 언제죠? 2월 중순부턴가?,2025-01-25
제이잡안성파스토,안성파스토나갔는데공고에는 근무종료 후 당일 열시내에들어온다고되어있던데토요일에는 지급이안되는건지 아시는분,2025-01-25
피자집 피자 롤러기,알바 처음하는 학생인데 피자 롤러기에 손이 들어갈까봐 너무 무서워요ㅠㅜ 피자 롤러기 손 끼임 사고 흔한가요??ㅠㅠ,2025-01-25
오산 신세ㄱ푸ㄷ or군포 네ㅇㅂ물류. 중 초보가 어디가 나을까요?,식품생산식이나 물류센터나. 모두 처음입니다푸드는 김밥 케익등 라인작업 11만 군포쪽은 피킹? 패킹? 검사? 8.4천원둘다 확정문자 받았는데 중간 2일정도가 겹쳐서 어디를 가야 할지 고민이되네요. (미리 못간다고 말해야 다른 분이라도 갈수 있을꺼 같아서요)아니면 차라리 쿠팡이나 마켓컬리로 알아보는게 나을까요?처음 해보는 업무다보니 경험해보신분들  조언 좀 부탁드릴께요.,2025-01-25
개인카페 마감,"개인카페 주말 마감 어때요? 카페무경력이라 걱정되네요 ,,",2025-01-25
카페알바 텃새,카페..알바그동안경력이있어도이런 사람 첨봐요새로운곳들어갔는데특별한 무엇도 없는데 사람잡고 보내요????수습기간에아무것도 할수없게하고 설겆이만시키네요물어보면 확인받으려하면 종일욕만계속????질문도 씹어요ㅋㅋㅋ 우와 오늘무슨일이 있던거지? 했어요고인물에 썩은물이있었네요!!참을까싶었지만 계속부딫일 사람이고사회경험많이 하다보니 뻔한미래가보이기에여태잘다니다  텃새만나고 당장 그만뒀어요?나이도 저보다 어린데사람괴롭혀놓고 그날아프고힘들었다..거짓말을..후환이 두렵지도 않나봐요ㅎㅎㅎ세상은 좁은데 말이예요ㅎ,2025-01-25
쿠팡 물류 정규직 ㅎㅎ,공채로 시험봐서 드러간거도 아니고 잡채도 아니고회장 아들이나 사장아들도 아니고 투자 지분이 있는거도아니고  오래 일한다고 좋은곳에서 스카웃하는 거도아니고  바지 사장일 뿐인데  추리닝  내복 사장도아니거 바지 사장 일뿐인데  가만히 입다물고일하면 중간은 가는데  내가 어떡해 여기 까지 왔는데ㅎㅎㅎ 이지랄 하는 놈년들 가끔씩음  개병신임 ㅎ고교자퇴내고 알바하는 주유소 롯데리아 알바 랑 같은레벨인데 ㅎ  족밥개병신인데 ㅎㅎ 머리도 되는줄암ㅎ핵심은 한살이라도 어릴때 제테크 하는게 성공하는거임 ㅎ인맥시회라 하는데 내가 족밥개병신이면 친구고 여자고 좃이고 없어여 다가오는건 사기꾼 뿐임 ㅎㅎㅎ너무 인맥믿지 마세여 ㅎ물류다니면서 법대나왔다고 자랑하는놈들 있음 ㅎ대학나와서 상위8프로 안에 못드러가면 초졸중퇴랑 같은 레벨임 ㅎㅎ  개그코너 이런거 만들면 대박날듯 ㅎㅎㅎ,2025-01-25
화성컴퍼니 노쇼 해보신분 ㅎㅎㅎ,화성 놈들이 머라구 하던가여 ㅎ아구창 마져야 할 놈들임  ㄹㅇ,2025-01-25
해고예고수당 궁금합니다,"카페에서 4개월 근무했고 경영난 이유로 가게 문을 닫게 되었습니다. 사장님은 당장 다음주까지만 운영하시겠다고 하시고 저희에게는 이해를 바라시며 다른 일자리를 알아보라고 하셨습니다. 가게 사정은 폐업이라기 보다는 건물이 사장님 것이고 1,2층을 사장님이 카페로 운영하고 계셨는데 2층을 상가를 들이시고 1층만 카페를 운영하실지를 고려중이며 당장 2층 공사가 다음주부터라서 저희에게 통보를 하신 것 입니다. 이런 경우에 해고예고수당을 받을 수 있을까요?",2025-01-25
쿠팡이나 컬리 일용직 근무하시는분들,명절에 .5배 추가로 받고 일하시는지 궁금해요,2025-01-25
중국집서빙,손님많은곳인데 중국집은 첨이라서 메뉴도 잘 몰라 더 걱정인데어떤점이 어렵나요? 서빙경력은 많은데일이야뭔들힘들겠다만 중국집 서빙 경험있으신분들은 어떠셨는지,2025-01-25
농축산하는데 솔직히 팀원들 잘만나야한다,이건 뭐 거의 10을 알려주면 2밖에 모르고그냥 팀분위기 족창내고ㅋ 얼굴에 개짜증나는거 티 팍팍냄누구는 쉬지도않고 일하고 밥도못먹고 일하는뎁남이사 그러든날든 신경 1도안쓰고 ㅋㅋㅋㅋ,2025-01-25
온누리 농축산 팀장 하지마라,오늘 안내하다가 목 다쉬고 불친절하다 소리 들음ㅋㅋ 지들이 똑같은말 하루에 300번넘게 해봐라친절하게 할수있나,2025-01-25
뽀로로파크,뽀로로파크에서 일해보신분 있나요? ㅜㅜ 근무 환경 어떤가요..?,2025-01-25
농축산 개핼인거 ㅇㅈ?!,농축산 개핼인거 게에바쎄빠 참치인거 ㅇㅈ ?,2025-01-25
편의점 알바하는데 발목 골절...,목발 짚고 다닐 수는 있다만 그만 두는게 점장님께도 예의겠죠...,2025-01-25
낼 쿠팡 확정받으신분,낼 쿠팡확정 받으시분 있을까요?동탄이요,2025-01-25
양지 올영갈까,티오나올려나어린애들아 직장 들어가라올영은 내가 갈게~,2025-01-25
와 농축산 개 헬이네 진짜 ㅋㅋㅋ,거짓말안하고 슈바가 점심시간 30분만 하고 오래서30분하고 잠깐잠깐 10분 씩 쉬엇음 와 이거맞나,2025-01-25
이번명절에 할수있는 알바 추천좀 해줘요,명절에도 돈벌어야해서,2025-01-25
온누리 농축산 알바 개 짜증나네 진짜 ㅋㅋ,사람 쉴새없이 밀려오고팀장 잘못만나서 하루에 한번도 못쉼그냥 어디짱박혀잇다 나오질않나아 슈바 잘못만남 개짜증남 ㅠ어카냐 ㅠ 하,2025-01-25
은행사거리 ㅍㅋㅇㄷㅇ 알바,"처음 가게 오픈하시는 부부사장님이셨는데 면접때 실습 의향 있냐고 실습 하는 시간도 시급에 포함된다고 하셔서 당연히 있다고 했음 실습 끝나고 여사장님께서 레시피 외워야되니 사진 찍어서 가라하시고 머리망 준비해서 오라고 하심 앞으로 잘해보자며 추가 실습 날짜를 당일 저녁에 알려주시겠다고 문자로 주민등록번호,이름,계좌 보내달라고 하셔서 보냈음 12월 말에 있었던 일인데 아직 답도 없고 시급도 안 주심 근데 채용공고는 계속 올라왔었음 시급은 그냥 봉사했다고 생각하는데 아무리 가게 오픈이 처음이라고 해도 알바를 안 쓰게 되었으면 최소한 문자 줘야하는게 기본 아닌가?",2025-01-25
온라인 티켓팅 대리 예약알바 예스워치에서 근무해보신분 있나요??,알바몬에 줄서기라고 치면나오는 업체욤 이거 급여는 제대로 주나요?,2025-01-25
1월8일부터 지금까지 이력서 지원 9개는 넘게 넣었는데,2곳 빼고 다 열람을 안하네..ㅠ 언제 일 구할수 있는지ㅠㅠ,2025-01-25
주말에 문자지원해도 되나요..,되나..,2025-01-25
예식장 단기,내일은 없다고 봐야할까요? 오늘은 못 갔고 내일 있는 거 가려고 했는데 안 보이네요 ㅠ,2025-01-25
이천지그재그 가지마세요,4일째 돈 못받는중입니다.상지업체이고  공고는 이름바까 올리는듯ㅈㅇㅇㅇㅊㅋㅍㄴ 피해보지마시라구 계속 올려드립니다시비충은 가볍게 무시합니다,2025-01-25
동탄쿠팡 업무내용 바뀌면 교육,동탄쿠팡 한달가량 일용직 출고업무 진행했는데같은센터에서 입고나 허브로 업무 바꾸면 신규교육 다시 들어야 되나요?,2025-01-25
금정역 자바리쿠르트 질문합니다,내일 일요일에 백암? 물류센터 출근 문자 보냈는데 되서 1시까지 나오라했는데 알바몬 공고에 통근버스라고 적혀있긴한데 검색해서 보니까 직업소개소던데 혹시나 자차없으면 힘들려나요?..,2025-01-25
수입차 전시장 단기 하루알바 해보신분?,아니 일도 안시키고 계속 탕비실에서 쉬기만 하는데 이게 맞는건가?,2025-01-25
평택컬리 티오,전에는 확정 잘줬더니요즘에는 확정문자를 잘안주는거 같음차라리 쿠팡이나 가야될려나요,2025-01-25
최저시급이라도 설연휴에 일할곳 읍나요??,"주휴 이딴거 필요없고 그냥 시간당 최저시급딱 맞춰서 일할곳 찾고싶다.. ㅜㅜ일요일부터 목요일까지 놀려니 몸이 쑤셔서 먼가 하고 싶은데모집글은 쿠팡 , 컬리 두군데밖에 없는데 문제는 출근문자도 안오고돈이 급하고 없는건 아닌데 본집가도 딱히 할께 없어서리대리운전 그딴건 안함",2025-01-25
여친이랑 하루만바꾸고싶다,ㄹㅇ 여친집에 집사님도있고기사님도있고화목하고 개부러움내가 돈없는거알고나를 왜좋아하는지모르겠다전생의 나라구하다뒤진거맞긴한것같은데왜난거지일까ㅜㅜ하루만  부자체험들가자^~^,2025-01-25
알바 월급제가 가능한가요??,주휴수당 안주려고꼼수부리는건 알겟는데월급제로 하기로 동의해서 계약하면나중에 최저시급+주휴수당을계산한 금액보다적어도 문제가 안되는건지 궁금합니다물론 월급이 최저시급보다는 많은대살짝많은정도고 원래 최저시급+주휴에 비하면 한참 모자란 금액인데이런꼼수가 법적문제가 없나요?,2025-01-25
쿠팡핳바엔 편의점이 낫지않나요?,물론 야간수당이 있긴하고공휴일은 특근수당이 있으니공휴일에 하는건 급전땡기기 좋으니 이해허겟는데평일은....똑같은 최저시급에노동강도가 천지차이인데쿠팡 꾸준히할바엔똑같은 최저시급받는 편의점이 훨씬낫지않나요??물론 쿠팡도 신호수같은 꿀자리가 없는건 아니지만꿀자리는 경쟁이 빡세서 요즘 확정잡기가 하늘의별따기고최근 쿠팡에서 파트 여러개해보니까이거할바엔 편의점이 백배 낫겟다는 생각이들더군요특히 허브나 그에준하는 소분(제가 갔던곳은소분이 상하차급이었습니다... 쉬지않고 무거운 음료수박스를레일에 4시간 풀로올룟습니다)밤새하는 야간조를 뛰어서 전부 야근수당받는게 아닌이상노동강도차이가 넘사네요...,2025-01-25
카페 무경력,오늘 면접보고 왔는데 카페 무경력임에도 인상이 너무 좋다며 같이 일하고싶다고까지 하셨는데 면접자 2-3명정도 있다고 하셔서 다 보시고 연락 주신다고 하셨거든요? 붙을 수 있을까용 ㅜ 근디 붙더라도 카페는 처음이라 하다가 짤리진 않겟죵 ..? ㅜ,2025-01-25
야쿠르트 윌 훔쳐먹다 짤린 사람 발생,"120~150명 정도 함께 쓰는 휴게실인데. 여기에 야쿠르트 제품 정기배송 이용 하는 직원들이 있단말이야. 언제부턴가 자꾸 윌이 하나씩 없어져서 소란이 생기기 시작함.보는 눈이 얼마나 많은데 간도 크지.그러다 결국 쉬는시간 종 치자마자 젤 먼저 달려와서 훔쳐먹은 외국인 여자애가 딱 걸림. 사무실에 보고가 되고 면담하더니 당일 퇴사당했지 뭐.근데 팔은 안으로 굽는다고. 그걸 보고는 먹고 싶음 집에서 시켜먹지 왜 회사에서 시켜먹어가지고 이런 일을 만드냐 이러더라.그래서 내가 피해자를 문제 삼아버리면 어떡하냐?뭐 갖고 오는게 문제면 앞으로 무서워서 휴게실에 가방도, 핸드폰도 못 놔두고 다니겠다? 이러니까 암말도 안함.우리나라는 어느나라랑 달리 카페에다 핸드폰이며 노트북 놔두고 다녀도 안전한 나라라고~",2025-01-25
제가 쿠팡 처음가는건 아닌데,쿠팡 처음가는건 아닌데 하는법이 가물가물 하면 처음 오셨냐고 할때 손을 들어야 될까요 실수 할까봐서요 아님 그냥 하다가 물어 봐야될까요,2025-01-25
월급 받을수있을까요,작년 12월 중순에 들어가서 주방일을 했습니다 12월꺼는 받았고 1월부터 일하다가 오늘 그만뒀는데 다른 주방직원들이 어제 그만 뒀거든요 근데 점장이 그분들 월급을 안준다고 하길래 혻시나 저도 못받을까 걱정되어 글 올립니다 일단 전 그만 둔 이유가 점장이 헤드셰프인데 어제 취해서 손님이랑 싸웠거든요 그거 뿐만 아니라 제가 음식설명 하다가 살짝 말을 더듬었는데 언어장애야? 라고 하시기도 했고 그런말 들으면서 일하는건 좀 무리일거같다 싶어서 그만둔건데 월급 못받으면 어떡하죠?,2025-01-25
보드게임카페 알바 해보신 분들!!,광역시 시내 ㄹㄷㅂㅌ보드게임 카페 주말 미들 시간대면 많이 힘들까요?? 사람많은걸로 아는데 어느정도 힘드나요,2025-01-25
일하라고 해놓고 같은시간대 알바뽑는건 뭘까요??,편의점 알바인데면접보고나서 다른사람뽑아서 연락도없다가2주뒤에 그사람이 재껴서빵꾸나니까 급한지 일하라고 문자가 오내요그래서 나가서 일하는데구인사이트를 보니까제 시간대 근무자를 계속며칠동안 구하는 구인을이2시간마다 올라오는데이건 그냥 언제든 바꾸겟다는 뜻일까요???다른곳 하다가 조건이좋아서 그만두고 옮긴건데.... 급한대오 설 연휴일시켜놓고  근무자 새로뽑을 생각인가 의심이....,2025-01-25
편의점 알바 초보인데 질문이요,어제 오전에 편의점 면접 본 곳이 있어요. 어제 오후에 그 곳에서 문자로 교육 일정까지 잡았단 말이죠? 근데 오늘 아침에 보니까 그 편의점에서 제가 지원한 시간대로 알바 채용 공고가 다시 올라왔더라고요. 제가 아직 채용 확정이 된게 아니라서 공고를 올린거겠죠? 다른 사람 뽑았으니 교육 안와도 된다는 문자 같은 건 못 받았어요.  저 안뽑는건 아니겠죠? 뭔가 심란하네요. 안 뽑힐거 각오하고 있어야하는지 여쭤봅니다.,2025-01-25
아웃백 교육받으러 갈 때 알바비 받나요?,내용은 위와 같습니다.아웃백 교육 받을 때의 시간들도 알바비로 책정하나요?,2025-01-25
이상한 면접..,"사무보조 알바를 지원해서 면접을 보러 갔다오게 되었는데 가기 전 회사 사이트 검색하니 아무것도 안나와서 약간 찜찜한 상태로 여의도에 한 건물에서 보기로 함 그런데 미팅중이라 스벅에서 기다려달라고 해서 ㅇㅋ 함 끝나자마자 전화로 여기자리로 와달라고 해서 감면접 1시간동안 물도 한 잔 안주고 자기만 마심..흠 뭐 그럴수도 있지라고 생각하고 면접 진행함이런저런 형식적인 질문들을 하다가 내가 왜 공고에 나와있는 회사주소랑 여기 주소랑 다르냐고 물어보니 이전을 했는데 아직 못 고쳤다 알려줘서 고맙다라고 함  또 이런저런 얘기를 하다 자기 회사 대표님은 알바라도 이런저런 일이 생겨 인성을 좀 보는게 좋은 것 같다며 자기네 같은 건물에 있는 인적성검사 회사 대표랑 친해져 교통비대신 공짜로 회사면접겸 참여해보라고 함혹시나 불이익이 있을까봐 하겠다고 함말했던 그 대표라는 사람이 오고 면접관은 잠시 나감설명해주면서 아직 신생회사라 경쟁회사가 많아서 다른 곳에 발설하지 말아달라고 부탁하고 검사를 실시함그냥 무난한 내용들이었음몇개 체크했던 것 중 문신이나 피어싱 할 생각 있다랑 종교나 정치적인 얘기를 주위에 한다(?)를 집어 물어봄뭐 회사에선 이런 걸 좀 볼수도 있으니까 내 생각을 말함여차저차해서 질문들이 끝나고 결과는 추후 웹발신으로 문자가 가는데 그 상담사 통해서 날짜 잡고 결과 들으면 된다고 함 ㅇㅋ하고 헤어짐 그리고 집에 와서 다시 회사를 찾아보니 똑같이 공홈도 아예 안나오고 뭔가 찜찜함을 지울 수 없어서 알바 인적성검사를 인터넷에 검색함사이비 중에 알바몬 기업 인증도 받은 곳인데 나랑 비슷한 케이스들이 좀 이었음 그때부터 의심되는 것들이 하나씩 하나씩 꼬리를 물고… 점차 커져감 말하지 않은 것 이외에도 있음결과적으로 나는 검사 결과 면대면 날짜에 미리 얘기하고 나가지 않음썰들을 보면 홍대,가디,구디,신촌이 많다고 했는데 여의도라고 아닌것도 아니었고 알바몬 인증을 받았다고 해서 사이비가 아닌 것도 아님을 알게됨 알바몬에 사무보조 알바 중 이런게 많다고 하니 다들 조심하시길…",2025-01-25
히키하는 사람들은,그만큼 돈이 많은거임?,2025-01-25
경력없는데 사무직일할수있을까요,매일 서빙 주방 설거지 일이나 쿠팡알바만 하다가 처음으로 사무직일을 하고싶은데 할수있는거라고 영어 중급회화능력이뿐인데 사무직일할수있을까싶네요,2025-01-25
백수경력이 늘어나는 만큼 두려움도 커지네요.,대학 졸업하고 마땅히 하는 일 없이 20후반인데 막상 일 구해보려니 경력없는 20후반이 잘 할수 있을까 걱정이 앞서는데 여기서 더 나이먹고 30대로 간다 생각하니 지금보다 답 없을 것 같다 생각이 들어 두렵네요.,2025-01-25
잘할수 있을까요...,부끄럽지만 대학졸업후 공시 준비하다가 히키생활했습니다.어영부영 세월 다 보내고 30대 중반 되서야 이대로 살면 안되겠다는 생각이 들어서편의점 아르바이트 구했어요. 대학 다닐 때 근로장학생으로 도서관에서 일 조금해본 것 이외엔 경험해본 일이 없어요...편의점 알바 누구나 다 할수 있다고 하는데실수하고 돈계산 잘못할까봐 너무 걱정되다못해 두려운 마음이 들어요.솔직히 스스로가 너무 한심하고 비참하네요...이런 저도 잘 할 수 있을까요?,2025-01-25
쿠팡확정요즘잘준나요?,쿠팡 확정 요즘 잘준나요?,2025-01-25
주6일 근무사업장인데 5일근무해서 주휴를 안줄수있나요?,4시간 근무 5일동안 일해서 주 20시간인데자기 사업장은 6일 근무라 6일 근무 안 하면주휴 못 준다는데 이게 맞나요..??잘 몰라서..;;,2025-01-25
아웃소싱들 허위광고같은거 하는거임?,미끼광고 진짜 너무한거 아니냐 허가도안받고 그때그때 이름 갈아치우는 아웃소싱인건 아는데그래도 이건 너무한거 아니냐 맨날 3~4개씩 공고 묶어서 길게 올려놓고서는 연락해달라며 사무실 사람 여러명 전화 올려놓고 막상 연락하면 그자리 이미없음 ㅇㅇ 알잔슴 요즘 시기가 시기인거하면서 자꾸 관심없는 다른데에다가 아무튼 한번 해보시죠하고 꽂아넣으려고함  거긴 조건이 안좋아서 아 거긴 안가요하고 전화 끊었는데 또 전화가 옴 그래놓고선 다음날엔 어제 자리없다고 말한 회사꺼를 공고에 넣어서 또올림신xxx너에서 올린 공고도 있던데 보니까 연락처가 다 똑같음해xxx너 너무한다 진짜,2025-01-25
설연휴 3일 유급휴일?,시급제 알바며 매월 0일날 급여를 지급받는 월급제..?기도 합니다. 수습기간이고 들어온지 한달도 안됐는데 설연휴에 대한 유급휴일/시급 1.5배를 주장해도 될까요….? 사실상 거의 꿀알바에 시급도 12000이라서 주장해도 될지 모르겠습니다 민폐일까요,2025-01-25
생명보험협회 감독 알바,"공고 올라올 때마다 하고 싶어서 지원하는데, 연락 한 번 안 오네요.혹시 어케 해야 붙는지 아시는 분? ㅠ",2025-01-25
ㅋㅍ 부천 프레시센터 확정을 밤12시에 줬음,에휴안믿기게도확정연락(문자)이 진짜 오긴왔는데오후 5시쯤 신청한거 5시간만에 온거라이걸 새벽 6시쯤 발견했지만 졸려갖고 '아이거뭐지' 하고 문자를 봐도 내용이 눈에 안들어와서 도로 잠들음>> 못가서 통수친게됨,2025-01-25
명학역 진단 키트,"요즘 다시 뽑는중인 거 같은데,최근에 일해본 사람.1.진단키트 아직도 만드는 거 맞아?? 2.10분 전에 출석부르고 분홍색옷? 노란색옷?입은 분들도 계셔? 아직도 그 분들이 소리지르시고,조금 늦으면 비교하겠지??(내가 혼나는 건 아니지만,눈치보이더라고)3.후기보면 밥 안준다고 하던데,맞음?? 예전에는 급식마냥 밥 준거 같은데.",2025-01-25
이건 최저시급도 안 나오지 않나?,배달도 아니고 가서 교체하는 시간도 있는데 단가가 저게 맞음?ㅋㅋ 저거 지원하는 호구는 없겠지?,2025-01-25
동춘역 씨드에이치알 화장품 관련,믿고 거를만한 곳인가요??,2025-01-25
근무후기 작성했는데 사장이 숨김 처리해버렸네 ^^,근무후기 내가 쓴거 내 지원내역이랑 겹쳐서 누군지 알 수 있나? 근무후기 팩트로만 안좋은거 썼더니 취소/거절 사유로 사장이 숨김 처리 됐다네 ^^팩트만 썼는데 왜 숨김 처리하지? 부끄러운지도 모르고,2025-01-25
아이큐 77이면 장애인 수준인가요..?,옛날에 검사하고 지적장애는 아니었는데 80도 초등학생 수준이라고 취업 못한다고 알바도 잘린다고 하네요ㅠ 저도 알바 하루 하다 잘린적 많고주 5일 5시간 계약직에 주말 파트타임 알바만 하고 있네요,2025-01-25
면접후 불합격 통보..ㅜㅜ,"목요일 오전에 면접보고 금요일까지 연락 준다고했는데..불합격통보받음.면접 분위기는 그냥저냥 괜찮았지만,면접때 이 말듣고 좀 기분이 그랬는데, 그게 뭐냐면..'우리가 1명 채용예정인데, 교육후 힘들다고 그만두면 회사도 시간낭비라 2명을 뽑고 일정기간 교육후 1명만 채용할 예정인데, 괜찮냐..'라는 말이었어.그래서 나는..회사입장에서는 이해 가지만, 난 상처일것같다.  라고했는데,결국 불합격됐네.그래도 언제 연락오나 오매불망 기다리는것보다 연락해주니 맘은 편하다.언제 일할 수 있으려나...ㅜㅜ",2025-01-25
부천 ㅎㅇㅂ팩토리 절대 가지마세요,여기 작업반장 완전 ㅁㅊㄴ임 일하면서 이런 인간 처음 봄. 누가 실수했는지 알지도 못하면서 아무나 붙잡고 뭐라함. 걍 이여자 눈에 띠면 안됨. 뭐 하나 실수하면 작업중이던 제품 집어던지고 노려보며 씩씩대고 뭐 물어보면 인상쓰면서 화내고 안물어보면 소리지르고 화냄. 알바들 다 왜 이모양이냐고 무시하고 돌아다니며 혼자 우월감에 젖어있음 아무리 관리자라지만 이런 여자 방치하는 회사도 제정신인가 싶음. 회사입장에서는 이 여자가 사내 군기도 잡고 직원관리 잘해서 업무도 효율적으로 돌아간다고 생각하는 것 같은데 이여자 때문에 알바 계속 바뀌는 건 알까??? 거짓말 1도 안 치고 하루 일하고 정신병 걸린것같음빛좋은개살구라고 이런 데서 일용직들한테 갑질하면서 자기 자존감 채우려는 불쌍한 인생 같아서 그냥 넘어가려다가 지도 뭐 의식했는지 노동청에 신고하든 말든 알아서 하라길래 갑질 폭언으로 신고해드림,2025-01-25
이천 지그재그 가지마세여,4일째 돈 못받는중입니다.상지업체이고  공고는 이름바까 올리는듯ㅈㅇㅇㅇㅊㅋㅍㄴ 피해보지마시라구 계속 올려드립니다시비충은 가볍게 무시합니다,2025-01-25
설연휴에 일하면 1.5배인가요 ?,다음주 월요일부터 2달정도 단기알바 할 예정인데요 .. 바빠서 설연휴부터 쭉 일한다고 하더라구요 토일까지요 .. 단기알바로 들어가는건데 설연휴에 근무하면 1.5배인가요 ? 오전 9시에서 오후 9시까지 일해요 생산직이구요,2025-01-25
피해라 알려주께,"잘들어라 남의뒷다마 조아하는 사람치곤 제대로 된사람없다회사뒷다마랑은 다른문제일이랑 상관없이 그사람 개인적인거로 걸고 넘어지면서넘겨집고 그걸 다른사람에게 얘기하고 과장시키고 사실이란 증거도 없는데 궁예질하면서 지생각을 남한테 얘기하면서 진짜인척그러면서 자기가 조심해야될사람을 찾아냈다는 희열을 느끼고자기를 제외시키는 진짜 그런 미친년이 있더라고핑크색 후드티에 꽉끼는 짧은검은패딩 파마단발머리아줌마 쓸데없이 아이샤도우 떡칠하고 다니는년보아하니 모쏠같음 남자밝히더라고 관리자 남자들 얼굴 평가하고 그러더라 거울이나 보고 말하던가어디 ㅋㅍ에서 이년을 보면 피해이년이 하는말도 믿지말고 대답도 하지마지맘에 안들면 쓸데없는 이상한 질문하고 그걸로사람 넘겨집고 이상하게 혼자생각한거다른사람한테 얘기하고 다니는년이니까정병임4,14,23",2025-01-25
동탄 cj 야간 1층거르세요,인력업체들도 다 ㅆㄹㄱ 애먼 노동자들만 호구에요 ㅠ 일도 들쑥날쑥 필요인원도 정확치언코 텃세 분위기 ㅊ악 알바들이 더 텃세심하고요 강압적인분위기도 한몫 차라리 쿠팡가세요임금도 이거저것다떼가고 최저로 줍니다 ㅠ 일은 어딜가나 똑같다생각해요 근데 돈차이가 심합니다 돈벌러가는건데 ㅠ여러군데 다니기를추천 결론은 돈걱정별로 없음 하루이틀 가시고 아니면 좋은직장구하세요,2025-01-25
지금 하고 있는 알바 평가부탁드립니다.,"25살 남자임 5개월째 하고 있는 알바인데 어떤가요?GS25평일 5일시급 10300원 / 주휴 4대보험 다 있음오후 4시 ~ 오후 11시 근무(중간에 휴식 30분 있는데 이것도 급여로 쳐줌)점장님 재량으로 쉬는 시간에 편의점 도시락이나 김밥먹고 싶은거 폐기 찍고 식사 가능, 물 1.25L 제공.점장님부터 해서 5시간 동안 같이 근무하는 사람들 다 착하고 좋음고정 진상 1~2명 말고 없고 편의점 알바로써 할 수 있는 일을 다한다고 보면 됨. (청소, 카운터, 물류, 담배 재고조사, 라면 채우기 등)왕복 1시간 ~ 1시간 20분 감사합니다 하고 계속 다녀야 하는 부분?",2025-01-25
오산 오후 투잡 괜찮은거있나요,직장끝나고갈려구요,2025-01-25
동춘역 씨드에이치알 화장품 포장,다음주에 하기로 했는데 손이 좀 느리면 힘들까요?텃세는 어떤가요..? 직원분들 어떠신지 궁금해요,2025-01-25
